HCHO reading,Location,Current Date,Next Date
0.00017668,Kandy Proper,5/28/2019,5/29/2019
0.000270799,Kandy Proper,5/29/2019,5/30/2019
0.000267879,Kandy Proper,5/30/2019,5/31/2019
0.000148419,Kandy Proper,5/31/2019,6/1/2019
2.74E-05,Kandy Proper,6/1/2019,6/2/2019
0.00013724,Kandy Proper,6/2/2019,6/3/2019
,Kandy Proper,6/3/2019,6/4/2019
0.000110295,Kandy Proper,6/4/2019,6/5/2019
,Kandy Proper,6/5/2019,6/6/2019
,Kandy Proper,6/6/2019,6/7/2019
,Kandy Proper,6/7/2019,6/8/2019
,Kandy Proper,6/8/2019,6/9/2019
0.000129823,Kandy Proper,6/9/2019,6/10/2019
,Kandy Proper,6/10/2019,6/11/2019
9.30E-05,Kandy Proper,6/11/2019,6/12/2019
,Kandy Proper,6/12/2019,6/13/2019
0.000122775,Kandy Proper,6/13/2019,6/14/2019
,Kandy Proper,6/14/2019,6/15/2019
0.000110979,Kandy Proper,6/15/2019,6/16/2019
8.98E-05,Kandy Proper,6/16/2019,6/17/2019
1.57E-07,Kandy Proper,6/17/2019,6/18/2019
7.38E-05,Kandy Proper,6/18/2019,6/19/2019
0.000113737,Kandy Proper,6/19/2019,6/20/2019
,Kandy Proper,6/20/2019,6/21/2019
,Kandy Proper,6/21/2019,6/22/2019
-7.30E-05,Kandy Proper,6/22/2019,6/23/2019
-3.88E-06,Kandy Proper,6/23/2019,6/24/2019
,Kandy Proper,6/24/2019,6/25/2019
,Kandy Proper,6/25/2019,6/26/2019
2.52E-05,Kandy Proper,6/26/2019,6/27/2019
7.84E-05,Kandy Proper,6/27/2019,6/28/2019
6.98E-05,Kandy Proper,6/28/2019,6/29/2019
8.64E-05,Kandy Proper,6/29/2019,6/30/2019
5.77E-05,Kandy Proper,6/30/2019,7/1/2019
4.85E-05,Kandy Proper,7/1/2019,7/2/2019
7.02E-05,Kandy Proper,7/2/2019,7/3/2019
7.36E-05,Kandy Proper,7/3/2019,7/4/2019
6.85E-05,Kandy Proper,7/4/2019,7/5/2019
0.000126987,Kandy Proper,7/5/2019,7/6/2019
8.12E-05,Kandy Proper,7/6/2019,7/7/2019
0.000107806,Kandy Proper,7/7/2019,7/8/2019
0.000175599,Kandy Proper,7/8/2019,7/9/2019
